id,location,water_sentiment,electricity_sentiment,gas_sentiment,traffic_sentiment,safety_sentiment,gemini_raw_response,updated_at
1,"Korangi, Karachi, Sindh",Poor,Poor,Poor,Poor,Poor,"water: Poor
electricity: Poor
gas: Poor
traffic: Poor
safety: Poor
explain: Korangi, like much of Karachi, suffers from chronic water shortages, low pressure, and quality issues. Electricity supply is plagued by frequent load shedding and infrastructure strain. Gas availability is often unreliable, particularly in winter, with low pressure and complete cut-offs. Traffic congestion is severe due to high population density, inadequate road infrastructure, and heavy commercial activity. Safety is compromised by persistent street crime, including snatching and robberies, affecting daily life.","2026-03-24 21:15:19"
2,"Gulshan-e-Iqbal Town, Karachi, Sindh",Poor,Fair,Poor,Poor,Fair,"water: Poor
electricity: Fair
gas: Poor
traffic: Poor
safety: Fair
explain: Gulshan-e-Iqbal Town, Karachi, experiences chronic water shortages and unreliable supply. Electricity is subject to frequent load shedding and outages. Gas supply is often erratic, especially with low pressure or unavailability during winter. Traffic is severely congested on major roads due to high population density. Safety has improved significantly in Karachi, but street crime remains a persistent concern in the area.","2026-03-24 21:15:24"
3,"Gadap Town, Karachi, Sindh",Poor,Poor,Poor,Poor,Fair,"water: Poor
electricity: Poor
gas: Poor
traffic: Poor
safety: Fair
explain: Gadap Town faces chronic water scarcity, with an inadequate and unreliable supply often reliant on tankers. Electricity is prone to frequent load shedding, voltage fluctuations, and unscheduled outages due to K-Electric's infrastructure and demand issues. Gas supply is a major concern, especially in winter, with severe low pressure and complete cuts impacting domestic use. Traffic congestion is high on major arteries and local roads, compounded by poor infrastructure and a growing population. Safety has improved significantly regarding organized crime, but street crime (snatching, muggings) remains a persistent problem, requiring caution from residents.","2026-03-24 21:15:32"
4,"Malir, Karachi, Sindh",Poor,Poor,Poor,Poor,Fair,"water: Poor
electricity: Poor
gas: Poor
traffic: Poor
safety: Fair
explain: Malir experiences chronic water shortages requiring tanker reliance, frequent electricity load shedding, and unreliable gas supply with pressure issues. Traffic congestion is severe due to heavy commercial and residential movement. Safety has improved significantly but street crime and occasional incidents persist.","2026-03-24 21:15:38"
5,"Naya Nazimabad, Karachi, Sindh",Fair,Fair,Fair,Good,Good,"water: Fair
electricity: Fair
gas: Fair
traffic: Good
safety: Good
explain: Naya Nazimabad is a planned, relatively upscale community with dedicated infrastructure. Water and electricity supply are generally more reliable than many other parts of Karachi due to better management and feeder lines, but still experience occasional issues or load shedding common to the city. Gas supply, while possibly better than average, is still subject to national shortages, particularly in winter. Traffic within the community is well-managed, and its location helps avoid the most severe city congestion. Safety is a primary focus for this gated community, benefiting from controlled access and private security, making it significantly safer than general Karachi.","2026-03-24 21:15:44"
6,"Clifton, Karachi, Sindh",Fair,Fair,Poor,Poor,Fair,"water: Fair
electricity: Fair
gas: Poor
traffic: Poor
safety: Fair
explain: Clifton experiences moderate water supply issues and occasional electricity outages. Gas supply is often unreliable, especially during winter months. Traffic congestion is severe and constant, particularly during peak hours. Safety has improved but street crime remains a concern.","2026-03-24 21:15:51"
7,"DHA Defence, Karachi, Sindh",Fair,Good,Fair,Poor,Good,"water: Fair
electricity: Good
gas: Fair
traffic: Poor
safety: Good
explain: Water supply in DHA is better managed than most of Karachi, but residents still often supplement municipal supply with private tankers due to inconsistencies, and quality can vary. Electricity is reliably "Good" as K-Electric prioritizes DHA, resulting in minimal load shedding compared to other parts of the city. Gas supply is generally better than many Karachi localities, but it's still susceptible to national shortages and low pressure during peak winter months, making it "Fair." Traffic in DHA is "Poor" due to it being a major commercial and residential hub, leading to significant congestion, especially during peak hours and around market areas. Safety is "Good" as DHA benefits from dedicated security patrols and a generally lower crime rate compared to most other areas of Karachi.","2026-03-24 21:17:00"
8,"Gulistan-e-Jauhar, Karachi, Sindh",Poor,Fair,Fair,Poor,Fair,"water: Poor
electricity: Fair
gas: Fair
traffic: Poor
safety: Fair
explain: Gulistan-e-Jauhar, like much of Karachi, faces chronic water shortages and irregular supply. Electricity experiences frequent load shedding, particularly in peak seasons. Gas supply can have pressure issues, especially in winter. Traffic is severely congested due to high population density and busy commercial activity. While overall security has improved in Karachi, street crime remains a significant concern in the area.","2026-03-24 21:17:04"
9,"Shahra-e-Faisal, Karachi, Sindh",Poor,Poor,Poor,Poor,Fair,"water: Poor
electricity: Poor
gas: Poor
traffic: Poor
safety: Fair
explain: Shahra-e-Faisal, like much of Karachi, faces severe utility challenges. Water supply is typically intermittent and insufficient. Electricity experiences frequent and prolonged load shedding. Gas supply is often unreliable, with low pressure or cut-offs common. Traffic on this major artery is notoriously heavy and congested throughout most of the day. While overall security has improved over recent years, street crime remains a significant concern, especially on major roads.","2026-03-24 21:17:09"
10,"Shaheed Millat Road, Karachi, Sindh",Poor,Poor,Poor,Poor,Fair,"water: Poor
electricity: Poor
gas: Poor
traffic: Poor
safety: Fair
explain: Karachi generally faces severe shortages and unreliable supply for water, electricity, and gas due to aging infrastructure, high demand, and load shedding, affecting Shaheed Millat Road. Traffic is consistently heavy and congested on this major thoroughfare. Safety has improved city-wide but street crime, such as snatching and muggings, remains a significant concern in busy areas.","2026-03-24 21:17:15"
